unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
228875,Texas Christian University,2003,Texas,0.65,0.32,7654,4971,1596,630,28
229115,Texas Tech University,2003,Texas,0.67,0.48,13755,9257,4445,610,26
230764,University of Utah,2003,Utah,0.86,0.53,5842,5036,2653,NA,26
233921,Virginia Polytechnic Institute and State University,2003,Virginia,0.7,0.39,18426,12827,4948,645,NA
234076,University of Virginia-Main Campus,2003,Virginia,0.39,0.54,14627,5775,3102,715,NA
236939,Washington State University,2003,Washington,0.78,0.42,9213,7184,3032,585,NA
236948,University of Washington-Seattle Campus,2003,Washington,0.71,0.45,15773,11156,4977,650,NA
238032,West Virginia University,2003,West Virginia,0.94,0.46,9147,8589,3978,575,25
240444,University of Wisconsin-Madison,2003,Wisconsin,0.66,0.42,19737,12992,5514,NA,30
243744,Stanford University,2003,California,0.13,0.7,18628,2343,1640,780,34
243780,Purdue University-Main Campus,2003,Indiana,0.79,0.36,22977,18076,6505,630,28
100751,The University of Alabama,2004,Alabama,0.77,0.48,9106,7021,3368,600,26
100858,Auburn University,2004,Alabama,0.84,0.33,12827,10796,3594,605,27
104151,Arizona State University-Tempe,2004,Arizona,0.86,0.4,20789,17899,7147,610,26
104179,University of Arizona,2004,Arizona,0.83,0.29,23725,19788,5725,615,26
106397,University of Arkansas,2004,Arkansas,0.78,0.55,5819,4567,2514,650,28
110635,University of California-Berkeley,2004,California,0.24,0.41,37001,8833,3653,720,30
110662,University of California-Los Angeles,2004,California,0.24,0.4,44981,10577,4268,705,29
123961,University of Southern California,2004,California,0.27,0.34,29792,8037,2770,720,31
126614,University of Colorado Boulder,2004,Colorado,0.85,0.31,19360,16425,5149,640,28
134097,Florida State University,2004,Florida,0.65,0.44,22127,14307,6240,630,27
134130,University of Florida,2004,Florida,0.53,0.57,22458,11928,6741,680,NA
135726,University of Miami,2004,Florida,0.42,0.26,18507,7784,2043,675,30
139755,Georgia Institute of Technology-Main Campus,2004,Georgia,0.7,0.43,8568,6008,2579,710,30
139959,University of Georgia,2004,Georgia,0.75,0.58,11813,8885,5190,650,28
145637,University of Illinois at Urbana-Champaign,2004,Illinois,0.63,0.49,22269,13939,6811,NA,30
147767,Northwestern University,2004,Illinois,0.33,0.41,14137,4702,1941,740,33
151351,Indiana University-Bloomington,2004,Indiana,0.83,0.36,21172,17572,6352,610,27
152080,University of Notre Dame,2004,Indiana,0.3,0.57,11490,3488,1985,735,33
153603,Iowa State University,2004,Iowa,0.9,0.45,9172,8273,3729,670,27
153658,University of Iowa,2004,Iowa,0.83,0.35,13874,11545,4017,665,27
155317,University of Kansas,2004,Kansas,0.68,0.62,9700,6600,4066,NA,27
155399,Kansas State University,2004,Kansas,0.48,0.72,10066,4806,3466,NA,26
157085,University of Kentucky,2004,Kentucky,0.81,0.49,9418,7603,3688,625,27
157289,University of Louisville,2004,Kentucky,0.79,0.55,5284,4189,2307,605,26
159391,Louisiana State University and Agricultural & Mechanical College,2004,Louisiana,0.81,0.66,10147,8171,5428,635,27
163286,University of Maryland-College Park,2004,Maryland,0.52,0.37,22292,11499,4200,685,NA
164924,Boston College,2004,Massachusetts,0.32,0.32,22451,7178,2309,705,NA
170976,University of Michigan-Ann Arbor,2004,Michigan,0.62,0.45,21293,13304,6040,720,31
171100,Michigan State University,2004,Michigan,0.79,0.44,21834,17343,7607,635,27
174066,University of Minnesota-Twin Cities,2004,Minnesota,0.74,0.41,18537,13707,5588,670,28
176017,University of Mississippi,2004,Mississippi,0.81,0.46,6490,5251,2427,NA,26
176080,Mississippi State University,2004,Mississippi,0.68,0.49,5245,3568,1753,NA,27
178396,University of Missouri-Columbia,2004,Missouri,0.8,0.46,12659,10100,4668,655,28
181464,University of Nebraska-Lincoln,2004,Nebraska,0.74,0.64,6871,5118,3266,650,28
186380,Rutgers University-New Brunswick,2004,New Jersey,0.61,0.32,24434,14961,4817,655,NA
196413,Syracuse University,2004,New York,0.59,0.28,16019,9463,2671,660,28
198419,Duke University,2004,North Carolina,0.21,0.43,17749,3804,1640,765,34
199120,University of North Carolina at Chapel Hill,2004,North Carolina,0.37,0.55,17591,6441,3516,695,30
199193,North Carolina State University at Raleigh,2004,North Carolina,0.62,0.49,12978,8048,3931,650,29
199847,Wake Forest University,2004,North Carolina,0.47,0.38,6289,2945,1121,705,NA
204796,Ohio State University-Main Campus,2004,Ohio,0.76,0.47,16954,12822,6057,645,28
207388,Oklahoma State University-Main Campus,2004,Oklahoma,0.89,0.56,6633,5881,3264,600,27
207500,University of Oklahoma-Norman Campus,2004,Oklahoma,0.82,0.54,8165,6723,3614,NA,28
209542,Oregon State University,2004,Oregon,0.88,0.45,7410,6529,2949,600,26
209551,University of Oregon,2004,Oregon,0.84,0.33,10193,8602,2865,605,NA
214777,Pennsylvania State University-Main Campus,2004,Pennsylvania,0.55,0.35,31264,17174,6048,650,NA
215293,University of Pittsburgh-Pittsburgh Campus,2004,Pennsylvania,0.48,0.34,17494,8445,2913,655,28
217882,Clemson University,2004,South Carolina,0.69,0.41,10620,7287,3019,650,28
218663,University of South Carolina-Columbia,2004,South Carolina,0.7,0.41,12004,8442,3491,625,27
221759,The University of Tennessee-Knoxville,2004,Tennessee,0.44,0.92,10832,4793,4422,615,26
221999,Vanderbilt University,2004,Tennessee,0.38,0.37,11173,4280,1602,720,32
223232,Baylor University,2004,Texas,0.73,0.35,10917,7924,2785,645,27
228723,Texas A & M University-College Station,2004,Texas,0.72,0.57,17324,12426,7068,650,28
228778,The University of Texas at Austin,2004,Texas,0.51,0.58,23008,11788,6791,670,28
228875,Texas Christian University,2004,Texas,0.65,0.32,7654,4971,1596,630,28
229115,Texas Tech University,2004,Texas,0.67,0.44,13323,8939,3950,610,26
230764,University of Utah,2004,Utah,0.86,0.51,6251,5403,2769,NA,26
233921,Virginia Polytechnic Institute and State University,2004,Virginia,0.72,0.39,17845,12771,4943,645,NA
234076,University of Virginia-Main Campus,2004,Virginia,0.39,0.54,14824,5760,3113,715,NA
236939,Washington State University,2004,Washington,0.75,0.44,9463,7125,3108,590,25
236948,University of Washington-Seattle Campus,2004,Washington,0.71,0.45,15773,11156,4977,655,28
238032,West Virginia University,2004,West Virginia,0.92,0.48,10049,9281,4415,575,25
240444,University of Wisconsin-Madison,2004,Wisconsin,0.7,0.41,19342,13447,5579,NA,30
243744,Stanford University,2004,California,0.13,0.66,19172,2486,1649,775,34
243780,Purdue University-Main Campus,2004,Indiana,0.8,0.36,24003,19259,6865,630,28
100751,The University of Alabama,2005,Alabama,0.74,0.48,10555,7776,3739,630,26
100858,Auburn University,2005,Alabama,0.82,0.36,14249,11616,4197,610,27
104151,Arizona State University-Tempe,2005,Arizona,0.91,0.43,19914,18126,7706,615,26
104179,University of Arizona,2005,Arizona,0.88,0.38,17904,15701,5974,625,26
106397,University of Arkansas,2005,Arkansas,0.87,0.52,6041,5283,2752,640,28
110635,University of California-Berkeley,2005,California,0.25,0.41,36679,9041,3672,725,30
110662,University of California-Los Angeles,2005,California,0.23,0.37,43267,9949,3723,705,30
123961,University of Southern California,2005,California,0.27,0.33,31634,8418,2741,720,32
126614,University of Colorado Boulder,2005,Colorado,0.88,0.34,17111,15003,5047,640,28
134097,Florida State University,2005,Florida,0.62,0.43,22450,14016,6067,625,27
134130,University of Florida,2005,Florida,0.57,0.6,21151,12100,7241,680,29
135726,University of Miami,2005,Florida,0.46,0.26,18812,8679,2277,680,30
